Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag_Weight,Colors,quality_score,Variety,Processing Method
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,green,0,1950,2200,2075,60,green,90.58,NA,Washed / Wet
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,green,1,1950,2200,2075,60,green,89.92,Other,Washed / Wet
guatemala,others,others,5,specialty coffee association,others,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,others,0,1600,1800,1700,1,bluish-green,89.75,Bourbon,Other
ethiopia,oromia,yidnekachew dabessa coffee plantation,320,metad agricultural development plc,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,green,2,1800,2200,2000,60,green,89,NA,Natural / Dry
ethiopia,guji-hambela,metad plc,300,metad agricultural development plc,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,green,2,1950,2200,2075,60,green,88.83,Other,Washed / Wet
brazil,others,others,100,specialty coffee institute of asia,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,bluish-green,1,others,others,2000,30,bluish-green,88.83,NA,Natural / Dry
peru,others,hvc,100,specialty coffee institute of asia,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,bluish-green,0,others,others,2075,69,bluish-green,88.75,Other,Washed / Wet
ethiopia,oromia,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,others,0,1570,1700,1635,60,bluish-green,88.67,NA,Other
ethiopia,oromiya,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,others,0,1570,1700,1635,60,bluish-green,88.42,NA,Other
ethiopia,"snnp/kaffa zone,gimbowereda",diamond enterprise plc,50,metad agricultural development plc,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,green,4,1795,1850,1822.5,60,green,88.25,Other,Natural / Dry
ethiopia,oromia,fahem coffee plantation,300,metad agricultural development plc,2014,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,others,1,1855,1955,1905,60,bluish-green,88.08,NA,Natural / Dry
united states,antioquia,alfredo de jesús lópez pérez,10,almacafé,2014,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,others,0,1872,1872,1872,1,bluish-green,87.92,Other,Washed / Wet
united states,antioquia,jorge walter restrepo,10,almacafé,2014,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,others,0,1943,1943,1943,1,bluish-green,87.92,Other,Washed / Wet
united states (hawaii),kona,"robert, sharon, arianna wood",1,specialty coffee association,2010,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,others,2,609.6,609.6,609.6,1,bluish-green,87.92,NA,Other
ethiopia,oromiya,bazen agricultural & industrial dev't plc,300,ethiopia commodity exchange,2010,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,others,2,1570,1700,1635,60,bluish-green,87.83,NA,Other
united states,antioquia,maría leticia diosa,10,almacafé,2014,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,others,0,2080,2080,2080,1,bluish-green,87.58,Other,Washed / Wet
indonesia,sulawesi,p.t. toarco jaya,1,specialty coffee association,2010,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,others,0,1200,1800,1500,2,bluish-green,87.42,NA,Other
ethiopia,yirgacheffe,green gold ethiopia | phone: 0114342032,150,ethiopia commodity exchange,2009,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,others,2,others,others,2080,6,bluish-green,87.33,NA,Other
china,yunnan,echo coffee,3,yunnan coffee exchange,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,green,0,1450,1450,1450,60,green,87.25,Catimor,Washed / Wet
ethiopia,gedio,levelup,250,blossom valley international,2014,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,others,8,1700,2000,1850,60,bluish-green,87.25,Ethiopian Yirgacheffe,Natural / Dry
united states,antioquia,nicolás rueda urrego,10,almacafé,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,others,0,2019,2019,2019,1,bluish-green,87.25,Other,Washed / Wet
costa rica,san ramon,several,250,specialty coffee association,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,green,2,1300,1300,1300,3,green,87.17,Caturra,Washed / Wet
mexico,xalapa,roberto licona franco,14,amecafe,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,green,0,1320,1320,1320,1,green,87.17,Other,Washed / Wet
united states,antioquia,silvia elena higuita,10,almacafé,2014,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,others,0,2112,2112,2112,1,bluish-green,87.08,Other,Washed / Wet
ethiopia,sidamo,others,100,specialty coffee institute of asia,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,bluish-green,1,others,others,1320,60,bluish-green,87.08,NA,Natural / Dry
brazil,south of minas,ralph junqueira,3,nucoffee,2011,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,green,2,1250,1250,1250,60,green,86.92,Bourbon,Natural / Dry
ethiopia,sidamo,green gold ethiopia | phone: 0114342032,150,ethiopia commodity exchange,2009,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,others,2,others,others,1400,6,bluish-green,86.92,NA,Other
uganda,kapchorwa eastern,kabum trading company,100,uganda coffee development authority,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,green,1,1950,1950,1950,60,green,86.83,SL14,Washed / Wet
honduras,comayagua,reinerio zepeda,275,instituto hondureño del café,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,green,3,1400,1400,1400,69,green,86.67,Caturra,Other
taiwan,"leye, alishan township, chiayi county","fang,zheng-lun 方政倫",20,specialty coffee association,2015,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,green,0,1200,1200,1200,50,green,86.58,Sumatra,Pulped natural / honey
nicaragua,others,others,275,specialty coffee association,others,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,others,2,others,others,1320,6,bluish-green,86.58,NA,Other
"tanzania, united republic of",others,others,100,specialty coffee institute of asia,2012,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,bluish-green,1,others,others,1400,60,bluish-green,86.5,NA,Natural / Dry
brazil,vale da grama,homero texeira de macedo junior,29,nucoffee,2011,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,green,2,1300,1300,1300,60,green,86.42,Bourbon,Natural / Dry
costa rica,west and central valley,exclusive coffees s.a.,250,specialty coffee association of costa rica,2015,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,bluish-green,0,1300,1300,1300,2,bluish-green,86.33,Caturra,Washed / Wet
ethiopia,oromia,haider abamecha abadiko,320,metad agricultural development plc,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,green,3,1750,1800,1775,60,green,86.25,NA,Natural / Dry
kenya,muranga,kangunu,320,kenya coffee traders association,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,bluish-green,1,1800,1800,1800,1,bluish-green,86.25,SL34,Washed / Wet
united states (hawaii),kona,others,10,specialty coffee association,2012,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,others,4,others,others,1000,100,bluish-green,86.25,Hawaiian Kona,Natural / Dry
united states (hawaii),kona,kona pacific farmers co-op,25,specialty coffee association,2010,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,others,1,others,others,1754,100,bluish-green,86.25,NA,Other
ethiopia,yirgacheffe,contact name | ato teshome belamo,300,ethiopia commodity exchange,2009,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,others,2,others,others,1250,6,bluish-green,86.25,NA,Other
united states,antioquia,hugo sepúlveda montoya,10,almacafé,2014,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,others,0,1941,1941,1941,1,bluish-green,86.17,Other,Washed / Wet
thailand,chiang rai,itdp,53,specialty coffee association,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,green,9,1300,1300,1300,1,green,86.17,Caturra,Washed / Wet
brazil,sul de minas - carmo de minas,maria rogeria costa pereira,300,specialty coffee association,2010,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,others,2,12,12,12,60,bluish-green,86.17,Yellow Bourbon,Other
brazil,sul de minas - carmo de minas,maria rogeria costa pereira,300,specialty coffee association,2010,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,others,3,12,12,12,60,bluish-green,86.17,Yellow Bourbon,Other
taiwan,natou county,lin yen chien 林言謙,10,specialty coffee association,2015,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,green,0,1000,1000,1000,15,green,86.08,Bourbon,Semi-washed / Semi-pulped
kenya,nyeri,jungle estate,12,kenya coffee traders association,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,bluish-green,2,1754,1754,1754,60,bluish-green,86.08,SL28,Natural / Dry
brazil,south of minas,ralph junqueira,7,nucoffee,2011,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,bluish-green,2,1250,1250,1250,60,bluish-green,86.08,Bourbon,Semi-washed / Semi-pulped
uganda,eastern uganda,kaasay farmer group,1,uganda coffee development authority,2014,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,others,0,others,others,1700,60,bluish-green,86,NA,Semi-washed / Semi-pulped
colombia,tolima,others,1,specialty coffee association,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,green,1,900,1500,1200,2,green,86,Caturra,Washed / Wet
kenya,kiambu,others,1,specialty coffee association,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,green,1,1520,2200,1860,1,green,86,SL28,Washed / Wet
uganda,"sipi, mt elgon",kawacom,1,africa fine coffee association,2012,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,bluish-green,0,1400,1900,1650,60,bluish-green,86,Other,Washed / Wet
ethiopia,sidamo,sidama coffee farmers coop. union,300,ethiopia commodity exchange,2009,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,others,4,1500,2000,1750,6,bluish-green,86,NA,Other
united states (hawaii),kona,hula daddy kona coffee,1,specialty coffee association,2009,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,others,0,426.72,426.72,426.72,2,bluish-green,86,NA,Other
guatemala,nuevo oriente,margarita avila de nuyens,80,asociacion nacional del café,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,green,3,others,others,1250,69,green,85.92,Bourbon,Washed / Wet
uganda,eastern,kawacom (u)ltd,1,uganda coffee development authority,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,green,0,1400,1900,1650,60,green,85.92,SL14,Natural / Dry
colombia,huila,others,275,almacafé,2013,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,bluish-green,0,1800,1800,1800,70,bluish-green,85.92,Caturra,Washed / Wet
panama,boquete,plinio ruiz,37,specialty coffee association of costa rica,2017,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,bluish-green,0,1600,1600,1600,60,bluish-green,85.83,Gesha,Washed / Wet
ethiopia,oromia,ibrahim hussien specialty coffee producer and exporter,320,metad agricultural development plc,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,green,4,1800,2000,1900,60,green,85.83,NA,Washed / Wet
guatemala,acatenango,sertrasa,150,asociacion nacional del café,2012,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,green,3,1524,1524,1524,1,green,85.83,Bourbon,Washed / Wet
guatemala,nuevo oriente,william estuardo martinez pacheco,275,asociacion nacional del café,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,bluish-green,1,1417.32,1417.32,1417.32,1,bluish-green,85.83,Catuai,Washed / Wet
ethiopia,addis ababa,seid damtew coffee export and plantation,320,metad agricultural development plc,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,others,7,others,others,1200,19200,bluish-green,85.75,Caturra,Natural / Dry
peru,cajamarca,others,280,specialty coffee association,2013,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,green,6,others,others,1250,5,green,85.75,NA,Washed / Wet
papua new guinea,eastern highlands province,"colbran coffeelands, ltd.",7,specialty coffee association,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,bluish-green,1,1700,1700,1700,60,bluish-green,85.75,NA,Washed / Wet
el salvador,apaneca,aida batlle,275,specialty coffee association,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,bluish-green,3,1500,1500,1500,2,bluish-green,85.58,Bourbon,Washed / Wet
el salvador,"ataco, apaneca - ilamatepec mountain range",oscar roberto murgas linares,19,specialty coffee association,2012,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,others,0,1300,1400,1350,1,bluish-green,85.58,Bourbon,Semi-washed / Semi-pulped
united states (hawaii),kona,others,8,specialty coffee association,2012,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,others,1,others,others,1200,100,bluish-green,85.58,Hawaiian Kona,Natural / Dry
panama,boquete,lamastus,100,blossom valley international,2014,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,others,2,1680,1680,1680,60,bluish-green,85.5,Caturra,Natural / Dry
kenya,kirinyaga,others,16,blossom valley international,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,green,3,1900,1900,1900,60,green,85.5,SL28,Natural / Dry
ethiopia,oromia,assefa belay coffee producer,320,metad agricultural development plc,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,green,7,1800,2000,1900,60,green,85.5,Other,Natural / Dry
uganda,bulambuli eastern region,kyagalanyi coffee ltd,320,uganda coffee development authority,2013,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,green,1,1600,1600,1600,60,green,85.5,SL14,Washed / Wet
guatemala,huehuetenango,asociacion de permacultores de cuilco (santos lopez mejia),250,asociacion nacional del café,2013,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,green,1,1706.88,1755.648,1731.264,69,green,85.5,Bourbon,Washed / Wet
ethiopia,oromia,assefa belay coffee producer,320,metad agricultural development plc,2015,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,green,18,1800,2000,1900,60,green,85.42,NA,Washed / Wet
uganda,kapchorwa,chesiyo farmer group,150,uganda coffee development authority,2013,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,green,5,1950,1950,1950,60,green,85.42,SL14,Washed / Wet
united states (hawaii),kona,others,8,specialty coffee association,2012,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,others,6,others,others,1300,100,bluish-green,85.42,Hawaiian Kona,Natural / Dry
brazil,south of minas,josé vagner ribeiro junqueira,5,nucoffee,2011,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,bluish-green,1,1250,1250,1250,60,bluish-green,85.42,Bourbon,Semi-washed / Semi-pulped
el salvador,apaneca,j. hill y cia sa de cv,2,specialty coffee association,2009,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,others,0,1400,1400,1400,1,bluish-green,85.42,NA,Other
china,yunnan,pu'er city longke coffee co.ltd,3,yunnan coffee exchange,2015,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,green,0,1700,1700,1700,60,green,85.33,Catimor,Natural / Dry
guatemala,huehuetenango,arturo aguirre,36,blossom valley international,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,green,1,1770,1770,1770,30,green,85.33,Pacamara,Natural / Dry
costa rica,west valley,cafe altura de san ramon,250,specialty coffee association,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,bluish-green,0,1300,1300,1300,3,bluish-green,85.33,Caturra,Washed / Wet
costa rica,san ramon,several,250,specialty coffee association,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,bluish-green,2,1300,1300,1300,3,bluish-green,85.33,Caturra,Washed / Wet
kenya,central kenya,kianjogu - rutuma f.c.s. ltd.,20,kenya coffee traders association,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,green,2,1600,1600,1600,60,green,85.33,SL34,Washed / Wet
kenya,central kenya,blend from various producers,300,kenya coffee traders association,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,green,6,1200,1200,1200,60,green,85.33,SL34,Washed / Wet
ethiopia,yirgacheffe,"contact name | egziabhez mezgebe, gmt industrial plc",360,ethiopia commodity exchange,2009,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,others,2,others,others,1200,6,bluish-green,85.33,NA,Other
ethiopia,yirgacheffe,contact name | hailu gebre hiwot,300,ethiopia commodity exchange,2009,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,others,3,others,others,1300,6,bluish-green,85.33,Typica,Other
guatemala,oriente,margarita avila de nuyens,250,asociacion nacional del café,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,green,2,others,others,1400,69,green,85.25,Bourbon,Other
colombia,santander,varios,275,almacafé,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,green,0,1550,1550,1550,70,green,85.25,Caturra,Washed / Wet
colombia,santander,others,250,almacafé,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,green,2,1550,1550,1600,70,green,85.25,Caturra,Natural / Dry
indonesia,lintong,others,54,specialty coffee association,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,green,3,1250,1400,1700,60,green,85.17,Sumatra Lintong,Semi-washed / Semi-pulped
guatemala,huehuetenango,coop. hoja blanca - fedecocagua,250,specialty coffee association,2012,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,others,7,1400,1400,1800,1,bluish-green,85.17,Caturra,Washed / Wet
ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",seid damtew coffee planation,320,metad agricultural development plc,2016,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,green,8,others,others,2000,19200,green,85.08,Other,Natural / Dry
colombia,pasto,jose albeiro gomez / luis jaber realpe,250,almacafé,2015,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,others,0,2560,2560,1400,70,bluish-green,85.08,Caturra,Natural / Dry
ethiopia,aricha,bnt,100,specialty coffee association,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0,green,7,1700,1700,1400,60,green,85.08,NA,Natural / Dry
united states (hawaii),kona,others,12,specialty coffee association,2014,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0,bluish-green,2,others,others,1700,100,bluish-green,85.08,Hawaiian Kona,Natural / Dry
colombia,cundinamarca,orlando ortiz /wilson ortiz/gilberto acosta,250,almacafé,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0,green,8,2136,2136,1800,70,green,85.08,Caturra,Natural / Dry
united states (hawaii),kona,kona pacific farmers cooperative,13,specialty coffee association,2010,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,1,0,others,7,others,others,2000,100,bluish-green,85.08,NA,Other
ethiopia,sidamo,exporter name | muluneh kaka | phone: 0114390290,360,ethiopia commodity exchange,2010,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,0,0,others,5,others,others,2200,6,bluish-green,85.08,NA,Other
united states (hawaii),kona,others,27,specialty coffee association,others,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,0,0,others,0,others,others,1400,0,bluish-green,85.08,NA,Other
uganda,eastern uganda,kyagalanyi coffee ltd,200,uganda coffee development authority,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0,green,1,1800,1800,1800,60,green,85,SL14,Washed / Wet
colombia,huila,la plata,135,almacafé,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0,green,3,others,others,1550,70,green,85,Caturra,Washed / Wet
costa rica,tarrazu,manuel montero,36,specialty coffee association,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1,green,1,1900,1900,1900,46,green,85,Catuai,Washed / Wet
mexico,veracruz,varios productores minifundistas,1,centro agroecológico del café a.c.,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0,green,3,1300,1300,1300,30,green,85,Typica,Washed / Wet
kenya,others,others,170,kenya coffee traders association,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5,green,7,1,1,1,60,green,85,NA,Washed / Wet
kenya,central kenya,others,38,kenya coffee traders association,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0,green,5,1580,1580,1580,60,green,85,SL34,Washed / Wet
brazil,grama valley,idalina m. de andrade ferreira,31,nucoffee,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,green,3,1100,1100,1100,60,green,85,Mundo Novo,Natural / Dry
mexico,mexico,finca kassandra,1,specialty coffee association,2010,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,0,0,others,0,1400,1400,1400,1,bluish-green,85,Pacamara,Other
united states (hawaii),kona,others,15,specialty coffee association,others,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,0,0,others,1,others,others,1600,100,bluish-green,85,NA,Other
guatemala,"chuva, san marcos",federico weller,275,specialty coffee association,2009,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,0,0,others,1,1066.8,1584.96,1325.88,69,bluish-green,85,NA,Other
colombia,huila,la plata,243,almacafé,2016,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6,others,2,others,others,1700,70,bluish-green,84.92,Caturra,Washed / Wet
colombia,huila,la plata,252,almacafé,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,green,1,1600,1950,1775,70,green,84.92,Caturra,Washed / Wet
taiwan,natou county,su chuen shian 蘇春賢,20,specialty coffee association,2015,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,0,0,green,0,800,800,800,40,green,84.92,Typica,Semi-washed / Semi-pulped
"tanzania, united republic of",mbeya,hasambo amcos,134,africa fine coffee association,2014,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0,green,2,1620,1620,1620,60,green,84.92,Other,Washed / Wet
colombia,huila,la plata,50,almacafé,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,green,3,1600,1950,1775,70,green,84.92,Caturra,Washed / Wet
mexico,coatepec,artemio zapata tejeda,25,amecafe,2012,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0,others,0,1200,1200,1200,1,bluish-green,84.92,Typica,Semi-washed / Semi-pulped
brazil,south of minas,glaucio carneiro pinto,4,nucoffee,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,green,2,1200,1200,1200,60,green,84.92,Bourbon,Natural / Dry
brazil,south of minas,ricardo luiz ferreira,10,nucoffee,2011,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,green,2,1000,1000,1000,60,green,84.92,Catuai,Natural / Dry
kenya,others,others,320,specialty coffee association,2009,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,1,0,others,9,others,others,1800,60,bluish-green,84.92,NA,Other
taiwan,"dongshan dist., tainan city 臺南市東山區",wang chao yung 王超永,10,specialty coffee association,2016,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,0,0,green,0,350,350,350,20,green,84.83,Typica,Natural / Dry
uganda,eastern,sipi organic coffee project,1,uganda coffee development authority,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0,green,1,1400,1900,1650,60,green,84.83,SL14,Natural / Dry
united states (hawaii),kona,others,14,specialty coffee association,2012,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0,others,15,others,others,2000,100,bluish-green,84.83,Hawaiian Kona,Natural / Dry
ethiopia,sidamo,sidama coffee farmers coop. union,300,ethiopia commodity exchange,2009,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,0,0,others,2,1500,2000,1750,6,bluish-green,84.83,NA,Other
ethiopia,sidamo,sidama coffee farmers coop. union,300,ethiopia commodity exchange,2009,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,0,0,others,4,1500,2000,1750,6,bluish-green,84.83,NA,Other
thailand,thailand,matsuzawa coffee,50,specialty coffee institute of asia,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0,green,0,others,others,1400,50,green,84.75,Caturra,Pulped natural / honey
kenya,nyeri,karatina,150,kenya coffee traders association,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0,green,0,1800,1800,1550,60,green,84.75,SL34,Washed / Wet
honduras,marcala,omar acosta,275,instituto hondureño del café,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0,green,4,1450,1450,1600,1,green,84.75,Catuai,Washed / Wet
el salvador,santa ana,several producers,250,specialty coffee association,2010,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15,0,0,others,3,1200,1200,1700,69,bluish-green,84.75,NA,Other
